00,1,<,00
00,0,<,00
00, ,<,01
01,1,<,01
01,0,<,01
01, ,<,02
02,1,<,02
02,0,<,02
02, ,>,03
03,0, ,12
03,1, ,04
03, ,>,19
04, ,>,05
05,0,>,05
05,1,>,05
05, ,>,06
06,1,>,06
06,0,>,06
06, ,>,07
07,0,>,07
07,1,>,07
07, ,1,08
08,0,<,08
08,1,<,08
08, ,<,09
09,0,<,09
09,1,<,09
09, ,<,10
10,1,<,10
10,0,<,10
10, ,1,11
11,0,>,03
11,1,>,03
12, ,>,13
13,0,>,13
13,1,>,13
13, ,>,14
14,1,>,14
14,0,>,14
14, ,>,15
15,0,>,15
15,1,>,15
15, ,0,16
16,1,<,16
16,0,<,16
16, ,<,17
17,1,<,17
17,0,<,17
17, ,<,18
18,1,<,18
18,0,<,18
18, ,0,11
19,0, ,28
19,1, ,20
19, ,>,35
20, ,>,21
21,1,>,21
21,0,>,21
21, ,>,22
22,1,>,22
22,0,>,22
22, ,>,23
23,1,>,23
23,0,>,23
23, ,1,24
24,0,<,24
24,1,<,24
24, ,<,25
25,1,<,25
25,0,<,25
25, ,<,26
26,0,<,26
26,1,<,26
26, ,1,27
27,0,>,19
27,1,>,19
28, ,>,29
29,1,>,29
29,0,>,29
29, ,>,30
30,1,>,30
30,0,>,30
30, ,>,31
31,0,>,31
31,1,>,31
31, ,0,32
32,1,<,32
32,0,<,32
32, ,<,33
33,1,<,33
33,0,<,33
33, ,<,34
34,0,<,34
34,1,<,34
34, ,0,27
35,1,>,35
35,0,>,35
35, ,>,36
36,0,>,36
36,1,>,36
36, , ,37
37,0,<,38
37,1,<,38
37, ,<,38
38,0,>,39
38,1,>,41
38, ,>,43
39,0,0,40
39,1,0,40
39, ,0,40
40,0,<,37
41,0,1,42
41,1,1,42
41, ,1,42
42,1,<,37
43,0, ,44
43,1, ,44
43, , ,44
44, ,<,45
45,0,<,46
45,1,<,46
45, ,<,46
46,0,>,47
46,1,>,49
46, ,>,51
47,0,0,48
47,1,0,48
47, ,0,48
48,0,<,45
49,1,1,50
49,0,1,50
49, ,1,50
50,1,<,45
51,1, ,52
51,0, ,52
51, , ,52
52,0,>,53
52,1,>,53
52, ,>,53
53,0,>,53
53,1,>,53
53, ,>,54
54,1,>,54
54,0,>,54
54, , ,55
55,0,>,55
55,1,>,55
55, ,<,56
56,0,1,57
56,1,0,58
56, ,>,61
57,0,<,59
57,1,<,56
58,0,<,58
58,1,<,58
58, ,<,59
59,0,1,60
59,1,0,57
59, ,1,60
60,0,>,60
60,1,>,60
60, ,>,55
61,1,>,61
61, ,<,62
62,1, ,61
62, ,<,63
63,0,<,63
63,1,<,63
63, ,<,64
64,0,>,74
64,1,>,74
64, ,>,65
65, , ,66
66,0,>,67
66,1,>,67
66, ,>,67
67,0,<,68
67,1,<,70
67, ,<,72
68,0,0,69
68,1,0,69
68, ,0,69
69,0,>,66
70,0,1,71
70,1,1,71
70, ,1,71
71,1,>,66
72,1, ,73
72,0, ,73
72, , ,73
73, , ,73
74, ,>,75
75,0,>,75
75,1,>,75
75, , ,75
60, ,>,55
61,1,>,61
61, ,<,62
62,1, ,61

62, , ,62
